# As colunas são: massa do atomo (unidade atomica), x, y, z
# NH3
14.0031  0        0        0
1.0079   0       -0.9377  -0.3816
1.0079   0.8121   0.4689  -0.3816
1.0079  -0.8121   0.4689  -0.3816
# CH4
12       0        0        0
1.0079   0.6276   0.6276   0.6276
1.0079   0.6276  -0.6276  -0.6276
1.0079  -0.6276   0.6276  -0.6276
1.0079  -0.6276  -0.6276   0.6276
# CH3Cl
12       0        0        0
34.9689  0        0        1.7810
1.0079   1.0424   0       -0.3901
1.0079  -0.5212   0.9027  -0.3901
1.0079  -0.5212  -0.9027  -0.3901
# O3
15.9949  0        0        0
15.9949  0        1.0885   0.6697
15.9949  0       -1.0885   0.6697
